Date,Streamflow
2017-03-18,3362.4
2017-03-19,2919.1
2017-03-20,4129.1
2017-03-21,2510.3
2017-03-22,2079.0
2017-03-23,2434.0
2017-03-24,1869.6
2017-03-25,3228.8
2017-03-26,4797.6
2017-03-27,2939.1
2017-03-28,4032.4
2017-03-29,2921.5
2017-03-30,2339.9
2017-03-31,2475.2
2017-04-01,1777.6
2017-04-02,1256.3
2017-04-03,1080.7
2017-04-04,950.6
2017-04-05,821.7
2017-04-06,754.2
2017-04-07,832.2
2017-04-08,1360.0
2017-04-09,1242.5
2017-04-10,1311.5
2017-04-11,1350.2
2017-04-12,1093.1
2017-04-13,1718.6
2017-04-14,1911.4
2017-04-15,2251.9
2017-04-16,2040.5
2017-04-17,1391.6
2017-04-18,1422.4
2017-04-19,2672.8
2017-04-20,1893.1
2017-04-21,2466.0
2017-04-22,2078.9
2017-04-23,1417.4
2017-04-24,1417.5
2017-04-25,2951.9
2017-04-26,3560.8
2017-04-27,3063.7
2017-04-28,3858.3
2017-04-29,3159.3
2017-04-30,1955.0
2017-05-01,1827.5
2017-05-02,1404.0
2017-05-03,1058.5
2017-05-04,1122.2
2017-05-05,971.5
2017-05-06,1085.6
2017-05-07,1325.9
2017-05-08,1008.6
2017-05-09,783.7
2017-05-10,689.1
2017-05-11,623.3
2017-05-12,603.5
2017-05-13,1503.8
2017-05-14,1321.7
2017-05-15,1722.7
2017-05-16,1551.2
2017-05-17,2026.2
2017-05-18,2240.2
2017-05-19,1495.0
2017-05-20,1055.4
2017-05-21,874.3
2017-05-22,741.3
2017-05-23,661.8
2017-05-24,621.1
2017-05-25,598.4
2017-05-26,565.2
2017-05-27,538.6
2017-05-28,500.6
2017-05-29,461.6
2017-05-30,439.6
2017-05-31,422.2
2017-06-01,467.1
2017-06-02,430.1
2017-06-03,417.0
2017-06-04,382.1
2017-06-05,374.4
2017-06-06,344.3
2017-06-07,322.3
2017-06-08,314.4
2017-06-09,720.0
2017-06-10,896.2
2017-06-11,1148.8
2017-06-12,1347.5
2017-06-13,867.2
2017-06-14,642.6
2017-06-15,539.7
2017-06-16,521.5
2017-06-17,1403.6
2017-06-18,1046.4
2017-06-19,718.8
2017-06-20,594.2
2017-06-21,511.1
2017-06-22,428.4
2017-06-23,398.5
2017-06-24,391.2
2017-06-25,383.8
2017-06-26,375.2
2017-06-27,365.0
2017-06-28,336.2
2017-06-29,321.4
2017-06-30,310.6
2017-07-01,300.0
2017-07-02,289.5
2017-07-03,279.0
2017-07-04,268.5
2017-07-05,258.1
2017-07-06,247.9
2017-07-07,237.8
2017-07-08,228.1
2017-07-09,218.7
2017-07-10,209.6
2017-07-11,200.9
2017-07-12,192.5
2017-07-13,184.5
2017-07-14,176.8
2017-07-15,169.5
2017-07-16,162.6
2017-07-17,155.9
2017-07-18,149.7
2017-07-19,143.7
2017-07-20,138.0
2017-07-21,132.6
2017-07-22,127.4
2017-07-23,122.5
2017-07-24,117.9
2017-07-25,113.5
2017-07-26,109.2
2017-07-27,105.2
2017-07-28,101.4
2017-07-29,97.7
2017-07-30,94.3
2017-07-31,90.9
2017-08-01,87.7
2017-08-02,84.7
2017-08-03,81.9
2017-08-04,79.3
2017-08-05,75.2
2017-08-06,70.4
2017-08-07,65.7
2017-08-08,61.2
2017-08-09,57.1
2017-08-10,53.3
2017-08-11,49.8
2017-08-12,47.6
2017-08-13,92.6
2017-08-14,119.6
2017-08-15,110.6
2017-08-16,74.9
2017-08-17,55.8
2017-08-18,44.5
2017-08-19,36.9
2017-08-20,32.9
2017-08-21,31.2
2017-08-22,30.0
2017-08-23,28.8
2017-08-24,26.7
2017-08-25,24.6
2017-08-26,22.9
2017-08-27,21.9
2017-08-28,21.1
2017-08-29,20.3
2017-08-30,19.6
2017-08-31,18.9
2017-09-01,18.4
2017-09-02,19.8
2017-09-03,18.3
2017-09-04,17.2
2017-09-05,16.5
2017-09-06,15.9
2017-09-07,15.3
2017-09-08,15.1
2017-09-09,26.5
2017-09-10,21.2
2017-09-11,28.9
2017-09-12,23.6
2017-09-13,18.1
2017-09-14,15.5
2017-09-15,14.1
2017-09-16,12.9
2017-09-17,12.5
2017-09-18,15.2
2017-09-19,171.1
2017-09-20,463.8
2017-09-21,978.1
2017-09-22,895.1
2017-09-23,476.9
2017-09-24,265.7
2017-09-25,157.4
2017-09-26,80.6
2017-09-27,52.0
2017-09-28,47.2
2017-09-29,46.3
2017-09-30,46.3
2017-10-01,211.4
2017-10-02,288.6
2017-10-03,179.2
2017-10-04,100.6
2017-10-05,63.6
2017-10-06,37.0
2017-10-07,21.7
2017-10-08,19.7
2017-10-09,103.0
2017-10-10,79.7
2017-10-11,53.3
2017-10-12,334.2
2017-10-13,513.3
2017-10-14,1353.5
2017-10-15,922.7
2017-10-16,473.8
2017-10-17,287.2
2017-10-18,179.6
2017-10-19,100.5
2017-10-20,141.6
2017-10-21,1977.1
2017-10-22,2531.1
2017-10-23,10852.1
2017-10-24,6354.3
2017-10-25,3165.0
2017-10-26,2058.5
2017-10-27,1346.5
2017-10-28,718.5
2017-10-29,615.8
2017-10-30,611.4
2017-10-31,615.8
2017-11-01,574.6
2017-11-02,559.6
2017-11-03,377.7
2017-11-04,680.3
2017-11-05,591.0
2017-11-06,1177.3
2017-11-07,972.5
2017-11-08,657.6
2017-11-09,531.3
2017-11-10,1462.6
2017-11-11,2696.6
2017-11-12,3068.8
2017-11-13,1931.5
2017-11-14,2681.8
2017-11-15,2432.1
2017-11-16,1572.6
2017-11-17,5308.3
2017-11-18,3923.0
2017-11-19,2335.4
2017-11-20,1670.1
2017-11-21,2569.1
2017-11-22,3342.8
2017-11-23,3366.8
2017-11-24,4200.1
2017-11-25,3047.6
2017-11-26,8444.0
2017-11-27,5307.7
2017-11-28,3612.2
2017-11-29,2624.2
2017-11-30,2033.4
2017-12-01,1352.6
2017-12-02,1474.0
2017-12-03,1520.5
2017-12-04,1601.1
2017-12-05,2029.9
2017-12-06,2888.0
2017-12-07,2479.5
2017-12-08,3078.9
2017-12-09,2758.6
2017-12-10,2214.3
