Date,Streamflow
2016-11-25,3136.0
2016-11-26,10301.5
2016-11-27,6727.5
2016-11-28,4864.1
2016-11-29,3799.2
2016-11-30,2542.0
2016-12-01,1919.4
2016-12-02,1630.0
2016-12-03,1305.5
2016-12-04,1196.9
2016-12-05,1477.2
2016-12-06,2189.3
2016-12-07,2426.4
2016-12-08,1631.0
2016-12-09,1172.8
2016-12-10,1832.9
2016-12-11,3435.9
2016-12-12,3390.9
2016-12-13,3721.4
2016-12-14,2384.4
2016-12-15,1573.3
2016-12-16,1174.5
2016-12-17,930.2
2016-12-18,770.4
2016-12-19,754.9
2016-12-20,1475.6
2016-12-21,4373.7
2016-12-22,2771.9
2016-12-23,1644.5
2016-12-24,1428.0
2016-12-25,1250.3
2016-12-26,864.7
2016-12-27,756.7
2016-12-28,1351.3
2016-12-29,1286.7
2016-12-30,958.6
2016-12-31,978.4
2017-01-01,761.2
2017-01-02,843.3
2017-01-03,1103.1
2017-01-04,829.6
2017-01-05,664.1
2017-01-06,601.7
2017-01-07,548.6
2017-01-08,493.8
2017-01-09,489.1
2017-01-10,1513.0
2017-01-11,3087.0
2017-01-12,3127.4
2017-01-13,1860.4
2017-01-14,1242.5
2017-01-15,934.6
2017-01-16,707.4
2017-01-17,603.8
2017-01-18,701.9
2017-01-19,3697.1
2017-01-20,4705.3
2017-01-21,2732.2
2017-01-22,2174.1
2017-01-23,2313.8
2017-01-24,1643.7
2017-01-25,1100.3
2017-01-26,919.7
2017-01-27,844.8
2017-01-28,756.2
2017-01-29,711.1
2017-01-30,630.7
2017-01-31,559.5
2017-02-01,530.6
2017-02-02,523.1
2017-02-03,488.3
2017-02-04,551.5
2017-02-05,2242.3
2017-02-06,6247.2
2017-02-07,11638.6
2017-02-08,7145.8
2017-02-09,5272.7
2017-02-10,8730.4
2017-02-11,6063.2
2017-02-12,3472.8
2017-02-13,2359.7
2017-02-14,1734.6
2017-02-15,1263.5
2017-02-16,1376.1
2017-02-17,6777.8
2017-02-18,6616.1
2017-02-19,3800.1
2017-02-20,3728.1
2017-02-21,3829.6
2017-02-22,6530.1
2017-02-23,6393.9
2017-02-24,3873.9
2017-02-25,2465.3
2017-02-26,1791.0
2017-02-27,1305.4
2017-02-28,1774.7
2017-03-01,1484.6
2017-03-02,1246.8
2017-03-03,1057.5
2017-03-04,979.3
2017-03-05,1434.4
2017-03-06,1331.8
2017-03-07,1592.2
2017-03-08,1727.6
2017-03-09,2755.4
2017-03-10,2572.5
2017-03-11,3289.6
2017-03-12,2113.4
2017-03-13,2433.7
2017-03-14,1694.3
2017-03-15,3265.2
2017-03-16,6045.5
2017-03-17,5771.9
