Date, Elevation(ft)
2017-11-24, 1489.23
2017-11-25, 1487.23
2017-11-26, 1486.21
2017-11-27, 1487.18
2017-11-28, 1490.61
2017-11-29, 1491.83
2017-11-30, 1490.19
2017-12-01, 1488.88
2017-12-02, 1488.76
2017-12-03, 1488.81
2017-12-04, 1488.64
2017-12-05, 1488.36
2017-12-06, 1487.92
2017-12-07, 1487.49
2017-12-08, 1486.90
2017-12-09, 1484.10
