Date, Release
2017-11-29, 5339.99
2017-11-30, 5340.00
2017-12-01, 5339.95
2017-12-02, 5340.04
2017-12-03, 5340.01
2017-12-04, 5339.95
2017-12-05, 5339.99
2017-12-06, 5340.04
2017-12-07, 5340.00
2017-12-08, 3351.29
2017-12-09, 1500.03
2017-12-10, 1500.01
2017-12-11, 1500.01
2017-12-12, 1500.00
2017-12-13, 1500.01
2017-12-14, 3019.04
