Date, Inflow
2017-12-01, 1340.20
2017-12-02, 1039.70
2017-12-03, 934.70
2017-12-04, 875.40
2017-12-05, 707.00
2017-12-06, 925.80
2017-12-07, 816.00
2017-12-08, 679.10
2017-12-09, 602.20
2017-12-10, 559.10
2017-12-11, 503.50
2017-12-12, 477.50
2017-12-13, 458.30
2017-12-14, 438.60
2017-12-15, 418.80
2017-12-16, 401.10
