Date, Release(cfs)
2017-11-18, 5403.17
2017-11-19, 5340.19
2017-11-20, 5339.98
2017-11-21, 5351.78
2017-11-22, 5347.23
2017-11-23, 5419.10
2017-11-24, 5340.70
2017-11-25, 5930.17
2017-11-26, 5340.17
2017-11-27, 5687.89
2017-11-28, 6433.15
2017-11-29, 6114.78
2017-11-30, 5342.58
2017-12-01, 5723.11
2017-12-02, 6354.22
2017-12-03, 6320.64
