Date, Inflow
2017-12-05, 1419.30
2017-12-06, 1011.50
2017-12-07, 866.40
2017-12-08, 757.80
2017-12-09, 649.90
2017-12-10, 621.60
2017-12-11, 587.40
2017-12-12, 565.10
2017-12-13, 538.60
2017-12-14, 512.50
2017-12-15, 468.20
2017-12-16, 444.60
2017-12-17, 424.70
2017-12-18, 405.40
2017-12-19, 387.00
2017-12-20, 369.30
