Date, Inflow(cfs)
2017-11-23, 2210.70
2017-11-24, 9568.80
2017-11-25, 6281.10
2017-11-26, 4084.30
2017-11-27, 8339.50
2017-11-28, 8782.10
2017-11-29, 6827.60
2017-11-30, 4401.30
2017-12-01, 2846.10
2017-12-02, 1928.90
2017-12-03, 2388.30
2017-12-04, 1754.60
2017-12-05, 1694.80
2017-12-06, 10748.70
2017-12-07, 6904.10
2017-12-08, 8482.50
