Date, Inflow
2017-12-08, 771.20
2017-12-09, 659.30
2017-12-10, 626.80
2017-12-11, 592.20
2017-12-12, 570.10
2017-12-13, 543.50
2017-12-14, 517.50
2017-12-15, 473.10
2017-12-16, 448.10
2017-12-17, 429.40
2017-12-18, 490.80
2017-12-19, 519.30
2017-12-20, 440.60
2017-12-21, 396.90
2017-12-22, 532.00
2017-12-23, 834.50
