Date, Elevation(ft)
2017-11-18, 1472.02
2017-11-19, 1468.67
2017-11-20, 1464.25
2017-11-21, 1466.35
2017-11-22, 1473.40
2017-11-23, 1478.60
2017-11-24, 1481.71
2017-11-25, 1484.56
2017-11-26, 1486.91
2017-11-27, 1486.04
2017-11-28, 1483.68
2017-11-29, 1480.80
2017-11-30, 1477.92
2017-12-01, 1476.52
2017-12-02, 1474.89
2017-12-03, 1471.10
