Date, Release
2017-12-01, 3797.10
2017-12-02, 4402.13
2017-12-03, 5116.52
2017-12-04, 5313.77
2017-12-05, 5312.99
2017-12-06, 5300.34
2017-12-07, 5304.22
2017-12-08, 5334.49
2017-12-09, 5334.11
2017-12-10, 1500.03
2017-12-11, 1500.03
2017-12-12, 1500.02
2017-12-13, 1500.05
2017-12-14, 1500.01
2017-12-15, 1500.02
2017-12-16, 2089.05
