Date, Elevation, RC Elevation
2019-06-03, 1563.05, 1563.50
2019-06-04, 1560.88, 1563.50
2019-06-05, 1559.79, 1563.50
2019-06-06, 1558.25, 1563.50
2019-06-07, 1558.64, 1563.50
2019-06-08, 1559.42, 1563.50
2019-06-09, 1560.24, 1563.50
2019-06-10, 1560.81, 1563.50
2019-06-11, 1561.26, 1563.50
2019-06-12, 1561.64, 1563.50
2019-06-13, 1561.98, 1563.50
2019-06-14, 1562.29, 1563.50
2019-06-15, 1562.60, 1563.50
2019-06-16, 1562.90, 1563.50
2019-06-17, 1563.20, 1563.50
2019-06-18, 1563.50, 1563.50
