Date, Release(cfs)
2017-11-24, 5340.01
2017-11-25, 2544.45
2017-11-26, 3399.33
2017-11-27, 4696.68
2017-11-28, 1500.00
2017-11-29, 5133.82
2017-11-30, 5113.39
2017-12-01, 2960.64
2017-12-02, 1500.00
2017-12-03, 1500.00
2017-12-04, 1500.00
2017-12-05, 1500.00
2017-12-06, 1500.00
2017-12-07, 1500.00
2017-12-08, 1544.50
2017-12-09, 5340.02
