Date, RC Elevation
2017-11-29, 1455.14
2017-11-30, 1452.60
2017-12-01, 1450.00
2017-12-02, 1450.00
2017-12-03, 1450.00
2017-12-04, 1450.00
2017-12-05, 1450.00
2017-12-06, 1450.00
2017-12-07, 1450.00
2017-12-08, 1450.00
2017-12-09, 1450.00
2017-12-10, 1450.00
2017-12-11, 1450.00
2017-12-12, 1450.00
2017-12-13, 1450.00
2017-12-14, 1450.00
