Date, Release
2017-11-27, 5340.13
2017-11-28, 5339.98
2017-11-29, 5340.24
2017-11-30, 5340.45
2017-12-01, 5340.51
2017-12-02, 5340.04
2017-12-03, 5341.70
2017-12-04, 5382.35
2017-12-05, 7610.38
2017-12-06, 5339.92
2017-12-07, 1500.18
2017-12-08, 1500.04
2017-12-09, 1500.02
2017-12-10, 1500.01
2017-12-11, 1500.33
2017-12-12, 3604.22
