Date, Inflow
2019-01-18, 852.50
2019-01-19, 2693.30
2019-01-20, 16315.60
2019-01-21, 15434.00
2019-01-22, 8318.80
2019-01-23, 5235.60
2019-01-24, 4421.20
2019-01-25, 4045.40
2019-01-26, 3176.40
2019-01-27, 2159.60
2019-01-28, 1642.20
2019-01-29, 1362.70
2019-01-30, 1142.80
2019-01-31, 770.40
2019-02-01, 584.30
2019-02-02, 559.50
