Date, Inflow(cfs)
2017-11-18, 3234.80
2017-11-19, 1825.10
2017-11-20, 1610.20
2017-11-21, 12492.70
2017-11-22, 10111.80
2017-11-23, 9899.50
2017-11-24, 6594.20
2017-11-25, 10051.20
2017-11-26, 5775.80
2017-11-27, 3561.40
2017-11-28, 4025.70
2017-11-29, 3113.10
2017-11-30, 3071.20
2017-12-01, 5480.80
2017-12-02, 3713.10
2017-12-03, 2387.00
